#{"t_start": 1736507118.482838, "env_id": "LunarLander-v3"}
r,l,t
30.532805,229,55.807416
113.086113,1000,57.654161
56.892717,1000,58.588356
60.150934,1000,60.233748
-58.184961,1000,62.14446
-39.888565,1000,63.393422
-50.834407,1000,64.595524
-41.426137,1000,65.6879
-51.154467,1000,66.993561
83.440965,1000,68.811063
84.517965,1000,69.760571
111.093493,1000,70.687557
74.168671,1000,72.487946
-19.633971,218,72.621022
10.120383,405,72.932689
81.394456,1000,74.950281
136.257076,1000,75.905379
105.92991,1000,77.834952
65.948836,1000,78.920806
93.579535,1000,80.698892
-56.373095,1000,82.377844
-12.861393,1000,83.221838
-46.272659,1000,84.582023
9.548839,1000,86.061927
-65.627075,1000,87.400894
-29.611631,316,87.633813
