depths,mean_rewards,std_rewards,seeds_mean_rewards,seeds_std_rewards
1,-322.1223957891023,83.51181763817011,-322.12239578910237,10.950609039922062
2,-322.3229729188724,106.06906787151371,-322.32297291887244,11.958540283848729
3,-236.40264358120905,149.40577577003407,-236.40264358120902,18.69942443837625
4,-308.052521276366,182.0878837469546,-308.05252127636595,21.30123716922107
5,-101.71298488538777,136.28844162630605,-101.71298488538778,18.038309841951147
6,89.58464660492722,148.856381225543,89.5846466049272,17.699738575269482
7,102.16352603464,138.36310757319137,102.16352603463999,17.32157745870956
8,181.21268771168164,100.33518518862739,181.21268771168158,10.822327680012227
9,173.7486224103763,120.75194726061551,173.7486224103763,14.289255176201229
10,207.44962132006438,90.87367716820691,207.44962132006435,12.464957195115772
11,203.15856966849964,109.09459224070802,203.1585696684996,13.864474279831986
12,166.6481542753386,187.8635911517552,166.6481542753386,24.599498585675793
13,209.40957243710523,99.59476606536529,209.40957243710525,10.292785661385503
14,211.9770826159362,93.45244140377767,211.97708261593624,10.87387931413357
15,198.769151834731,110.81674256119948,198.76915183473102,12.967212790717856
