depths,mean_rewards,std_rewards,seeds_mean_rewards,seeds_std_rewards
1,-317.95746982069556,79.4180158032078,-317.9574698206955,8.387508613701637
2,-317.95746982069556,79.4180158032078,-317.9574698206955,8.387508613701637
3,-319.86941061470714,120.30814220272673,-319.86941061470714,12.514971347376965
4,-257.7952188342859,101.02936065944688,-257.7952188342859,10.220589830570063
5,-289.89934664943854,125.20846205894816,-289.89934664943854,12.200773784369936
6,14.558757921508192,192.2394429826319,14.558757921508192,17.9953220320338
7,19.65234348080896,176.24328433203223,19.652343480808963,17.82888135079474
8,51.15396456570836,167.02866882516525,51.15396456570838,14.952127741514087
9,58.6809524462854,185.54217537872296,58.6809524462854,17.740540437034195
10,98.65410373516589,166.07165087762345,98.6541037351659,18.86800631006307
11,138.47065460029492,148.75527534308105,138.47065460029492,13.491839200994567
12,144.4236937629351,151.39838049718045,144.42369376293507,13.864269660721545
13,187.24928748443668,112.97701215317593,187.24928748443668,12.99121377041241
14,164.32098686870225,125.2257322415068,164.32098686870228,12.574747161976967
15,187.8729248051984,111.18515714276197,187.8729248051984,10.806561538865186
