depths,mean_rewards,std_rewards,seeds_mean_rewards,seeds_std_rewards
1,-315.92371824001816,79.70140593094494,-315.92371824001816,7.5749220555494885
2,-315.92371824001816,79.70140593094494,-315.92371824001816,7.5749220555494885
3,-292.89018226888135,113.68818414356625,-292.89018226888135,11.36713212239882
4,-257.6481726386308,173.83350939221248,-257.64817263863074,17.18397816328499
5,-210.35703246489018,165.88149731523743,-210.35703246489015,15.901940841865667
6,-404.5584408878092,259.67924073430675,-404.55844088780907,25.587975181450464
7,-412.0446315302264,195.86063125699727,-412.0446315302264,20.305366006377135
8,-63.05186649176779,229.83814375815888,-63.05186649176779,24.35241681178972
9,-26.429475422399044,238.19777771221268,-26.429475422399037,23.324318002597227
10,136.46358327923807,176.20859731968915,136.46358327923807,16.03151234656808
11,147.03116215649104,170.163973021521,147.03116215649104,17.73384486827185
12,109.53471107424737,218.2163225269886,109.53471107424737,20.504234141705783
13,86.94984567092855,224.985433644481,86.94984567092854,22.82724736678567
14,131.5532819162435,193.54646630071042,131.55328191624352,19.64484526988968
15,94.34240522999457,210.47967355765329,94.34240522999458,22.719190661396905
