depths,mean_rewards,std_rewards,seeds_mean_rewards,seeds_std_rewards
1,-317.66754119310417,78.92741864228289,-317.66754119310417,8.600688037565176
2,-317.66754119310417,78.92741864228289,-317.66754119310417,8.600688037565176
3,-431.3344301025237,162.67328189962782,-431.3344301025237,16.500217207913007
4,69.03023855249292,156.42371690651194,69.03023855249292,16.000690545216692
5,-20.167587110130558,221.92781145872584,-20.167587110130558,22.30119371275049
6,24.040724054566038,194.07070097442025,24.040724054566034,18.886956737925413
7,73.48696881243612,187.407294397168,73.4869688124361,18.337230756578116
8,73.94777122570802,197.29879062768796,73.94777122570802,20.076850435081813
9,106.03644162277259,170.67102763256284,106.0364416227726,16.755279238192262
10,87.00529322847954,174.00178083554533,87.00529322847953,16.949737849582846
11,88.62919912865564,198.01077481906665,88.62919912865564,18.876606229944294
12,97.63834410289931,200.48891827765357,97.63834410289934,21.695286171461767
13,99.72724198381931,190.72035514504336,99.7272419838193,21.49318254315476
14,83.41591748711781,205.51923282695626,83.41591748711782,20.19220790502453
15,65.65104172817686,212.41246305989975,65.65104172817686,21.162536491391137
