depths,mean_rewards,std_rewards
1,-316.8316176871569,4.90210011284972
2,-317.4633590182768,2.334106462033368
3,-299.6244696870555,2.5835913107670216
4,-302.61971466852566,3.212396105966951
5,-8.049426625054167,5.038881706193444
6,-26.484704007165075,4.954025539785922
7,-57.86741279483736,4.1278818459316025
8,47.76821441881203,10.351052955948534
9,141.14028767497982,2.385162040610183
10,133.05858932565963,3.999576237804006
11,176.2215554278561,7.711314588968494
12,170.8447219887688,4.561974777259015
13,181.30192404080154,4.549855657798649
14,156.05548855427588,5.536402127010532
15,154.2783542368752,7.6727654220956705
