#{"t_start": 1736513157.721992, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,2.192104
-94.240603,64,2.220104
-100.28406,101,2.274107
-303.886121,66,2.316103
-62.225048,69,2.34718
-271.899286,82,2.398028
-140.36869,84,2.453342
-284.955487,119,2.551135
-265.812776,69,2.592133
-110.020794,72,2.636139
-481.839688,97,2.704134
-75.012478,100,2.869138
-121.645225,101,3.40657
-26.943984,122,3.915595
-182.728782,120,4.585693
-337.87134,137,5.308075
-137.722605,114,5.744809
-45.26615,137,6.281753
-57.182527,104,6.699255
-155.048801,125,7.170249
-188.973671,117,7.608682
-153.077719,122,8.097217
-333.729588,228,8.977184
-108.851571,240,10.099912
-145.736114,282,11.220237
16.120761,303,12.543586
14.539129,261,13.825349
-63.968455,80,14.180529
-38.447056,425,16.050795
-5.362389,212,16.992634
-137.006456,745,20.670331
-150.82124,1000,25.590536
-133.224822,264,26.800813
-112.023513,1000,33.052472
-140.435947,1000,39.475857
-115.785909,1000,45.453649
