depths,mean_rewards,std_rewards,seeds_mean_rewards,seeds_std_rewards
1,-319.90387400233095,77.51015602977449,-319.9038740023309,8.096657987260276
2,-319.90387400233095,77.51015602977449,-319.9038740023309,8.096657987260276
3,-636.9202829102373,67.8354349117892,-636.9202829102372,6.677982084084247
4,-216.68591390748253,127.8603732522762,-216.68591390748247,12.697283956275898
5,-353.83718952418855,238.26678233728217,-353.8371895241886,25.917751519900754
6,-38.28554264818152,237.81387319837245,-38.28554264818151,20.58103980113739
7,-88.9297927124764,157.7170167509453,-88.92979271247637,16.285837314730152
8,-135.94445214003272,185.1710066913988,-135.94445214003272,16.68280777949427
9,-196.25511485313143,285.0088063147863,-196.25511485313137,26.44416873354778
10,-0.6062217434052302,222.12181353889986,-0.6062217434052295,17.051059169926067
11,8.94753892800624,205.24452145851674,8.947538928006239,17.39143183640414
12,-38.81351653113083,239.24769658571435,-38.81351653113082,22.390660903851607
13,10.102810303672054,231.19508194031175,10.102810303672054,20.67388351164761
14,17.796775362598023,212.5623710862543,17.79677536259802,20.635443210829038
15,-34.5665385741496,222.7068452287646,-34.566538574149604,21.067758340276963
