depths,mean_rewards,std_rewards
1,-319.1353915295385,8.080151632089956
2,-486.75110828522355,15.747135625531733
3,-304.15339086035283,13.334103052661682
4,-240.75359293495657,15.54349754859326
5,-419.7587537523018,17.798064883364873
6,-198.11589842627848,12.781323497901175
7,-129.6792463375212,13.495788960975506
8,-44.63470690792541,16.60190712828074
9,-16.96230206208574,18.809841992315366
10,-9.793054457661782,17.79202079033187
11,-6.537386633255559,18.69494126843486
12,4.17713479832897,19.096555213007985
13,48.071381677554236,19.732544932907643
14,56.77420307282692,18.384854131600076
15,27.93824735781503,18.99722905572004
