depths,mean_rewards,std_rewards
1,-295.2890461122425,28.406953370794906
2,-295.2890461122425,28.406953370794906
3,-399.45332325943656,35.02754617637154
4,-254.22286065143365,30.594430656621153
5,-86.01570645800713,29.325362819284393
6,-268.7741863656385,57.60446655150256
7,-88.13076607535253,48.446042044831295
8,93.40083280089074,41.88611575905835
9,137.25708584067343,42.30590377804845
10,180.69761188189145,34.73868505532704
11,204.29337685799666,41.29243053879422
12,177.85938575146943,37.25398292145556
13,184.4444841716922,30.875314772239513
14,164.3502373026787,38.333472989012144
15,175.5259963112974,25.944734379821437
