depths,mean_rewards,std_rewards
1,-317.94537540531866,1.9284859600653168
2,-435.8113767625457,3.42842930613335
3,-316.55194203527356,5.943729776989506
4,-192.5310306053566,7.318520116634991
5,-440.0496376920083,5.8942583897136585
6,-157.23030713970925,7.581173340212782
7,0.48553632834997923,14.055499001486961
8,34.75148125603863,9.948064255482766
9,64.80961778002789,12.443386174057009
10,79.24051294558596,9.074591809175077
11,85.41740915677218,7.86842559490416
12,102.47365786337333,6.911097703023608
13,111.51459950617122,2.878211160677765
14,89.49545317882877,7.502004761687972
15,103.0975641472928,7.9340272697030025
