,0
y_velocity,0.28966390329254815
angular_velocity,0.22697316151206853
x_velocity,0.18227779391617538
y_position,0.12467112880897416
angle,0.07208386833448759
x_position,0.05388913446868015
right_leg_contact,0.04756270565141292
left_leg_contact,0.002878304015653071
