depths,mean_rewards,std_rewards
1,-318.74614593166416,7.380275766371017
2,-318.74614593166416,7.380275766371017
3,-307.50213278772713,11.588598778242478
4,-190.46851248718474,12.689782974155223
5,-372.7316653423252,13.84232093380004
6,-234.7037866434539,12.850240395896009
7,-252.08230643972914,12.104603575412407
8,-180.19213431767278,18.756779336776507
9,-14.739065468032331,18.24181834665329
10,0.9544164459891007,15.042306108794644
11,-15.371083019988312,19.28136166042993
12,19.26365640700908,17.59235668860842
13,47.858256432825684,22.981369274375755
14,81.07063486515216,21.606508078370723
15,62.30653865604995,18.806306697348305
