#{"t_start": 1736513220.6126254, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,2.126921
-94.240603,64,2.152921
-100.28406,101,2.188917
-303.886121,66,2.21292
-62.225048,69,2.23792
-271.899286,82,2.266918
-140.36869,84,2.314844
-284.955487,119,2.359927
-265.812776,69,2.385923
-110.020794,72,2.412922
-481.839688,97,2.454919
-75.012478,100,2.568917
-121.645225,101,2.947922
-26.943984,122,3.466975
-182.728782,120,4.00109
-337.87134,137,4.51275
-137.722605,114,4.925745
-45.26615,137,5.41656
-57.182527,104,5.790838
-155.048801,125,6.239922
-188.973671,117,6.698705
-153.077719,122,7.198942
-333.729588,228,8.114083
-108.851571,240,9.056224
-145.736114,282,10.21434
16.120761,303,11.518636
14.539129,261,12.581021
-63.968455,80,12.876385
-38.447056,425,14.870045
-5.362389,212,15.666996
-137.006456,745,19.313823
-150.82124,1000,24.138207
-133.224822,264,25.367001
-112.023513,1000,30.952547
-140.435947,1000,36.611632
-115.785909,1000,41.682096
-123.13129,1000,46.975521
-82.703599,1000,47.923556
-127.61248,1000,49.145629
-117.872357,1000,50.417555
-109.277901,1000,51.682624
-170.66289,1000,55.093775
-144.84779,1000,58.559775
-172.531249,1000,61.83884
-90.751056,1000,65.46974
-106.385086,1000,68.70814
-155.592059,1000,72.367403
-109.144797,1000,75.820849
-113.513866,150,76.216932
-131.141947,1000,79.667215
-157.438131,1000,82.994791
-56.93504,1000,86.496756
-120.740101,118,86.545754
-114.651246,1000,87.820832
-115.332108,1000,88.707833
-86.930026,1000,89.629754
-154.576305,1000,93.401024
