angle,leg_2,action
3.109767676767677,1.0,[2]
3.236696969696971,1.0,[2]
3.363626262626263,1.0,[3]
3.4905555555555567,1.0,[3]
3.6174848484848487,1.0,[3]
3.7444141414141425,1.0,[3]
3.8713434343434345,1.0,[3]
3.9982727272727283,1.0,[3]
4.125202020202022,1.0,[3]
4.252131313131314,1.0,[3]
4.379060606060608,1.0,[3]
4.5059898989899,1.0,[3]
4.632919191919194,1.0,[3]
4.759848484848486,1.0,[3]
4.886777777777779,1.0,[3]
5.0137070707070714,1.0,[3]
5.140636363636365,1.0,[3]
5.267565656565657,1.0,[3]
5.394494949494951,1.0,[3]
5.521424242424243,1.0,[3]
5.648353535353537,1.0,[3]
5.775282828282829,1.0,[3]
5.902212121212123,1.0,[3]
6.029141414141416,1.0,[3]
6.156070707070708,1.0,[3]
6.283,1.0,[3]
