x_space,leg_1,action
-0.8838383838383839,1.0,[3]
-0.8333333333333333,1.0,[3]
-0.7828282828282829,1.0,[3]
-0.7323232323232323,1.0,[3]
-0.6818181818181819,1.0,[3]
-0.6313131313131313,1.0,[3]
-0.5808080808080809,1.0,[3]
-0.5303030303030303,1.0,[3]
-0.47979797979797967,1.0,[3]
-0.4292929292929295,1.0,[3]
-0.3787878787878789,1.0,[3]
-0.3282828282828283,1.0,[3]
-0.2777777777777777,1.0,[3]
-0.22727272727272751,1.0,[3]
-0.1767676767676769,1.0,[3]
-0.1262626262626263,1.0,[3]
-0.07575757575757569,1.0,[0]
-0.025252525252525082,1.0,[0]
0.025252525252525082,1.0,[0]
0.07575757575757569,1.0,[0]
0.1262626262626263,1.0,[0]
0.1767676767676769,1.0,[0]
0.22727272727272707,1.0,[0]
0.2777777777777777,1.0,[0]
0.3282828282828283,1.0,[0]
0.3787878787878789,1.0,[0]
0.42929292929292906,1.0,[0]
0.47979797979797967,1.0,[0]
0.5303030303030303,1.0,[0]
0.5808080808080809,1.0,[0]
0.631313131313131,1.0,[0]
0.6818181818181817,1.0,[0]
0.7323232323232323,1.0,[0]
0.7828282828282829,1.0,[0]
0.8333333333333335,1.0,[2]
0.8838383838383836,1.0,[2]
0.9343434343434343,1.0,[2]
0.9848484848484849,1.0,[2]
1.0353535353535355,1.0,[2]
1.0858585858585856,1.0,[2]
1.1363636363636362,1.0,[2]
1.1868686868686869,1.0,[2]
1.2373737373737375,1.0,[2]
1.2878787878787876,1.0,[2]
1.3383838383838382,1.0,[2]
1.3888888888888888,1.0,[2]
1.4393939393939394,1.0,[2]
1.4898989898989896,1.0,[2]
1.5404040404040407,1.0,[2]
1.5909090909090908,1.0,[2]
1.641414141414141,1.0,[2]
1.691919191919192,1.0,[2]
1.7424242424242422,1.0,[2]
1.7929292929292933,1.0,[2]
1.8434343434343434,1.0,[2]
1.8939393939393936,1.0,[2]
1.9444444444444446,1.0,[2]
1.9949494949494948,1.0,[2]
2.045454545454545,1.0,[2]
2.095959595959596,1.0,[2]
2.146464646464646,1.0,[2]
2.1969696969696972,1.0,[2]
2.2474747474747474,1.0,[2]
2.2979797979797976,1.0,[2]
2.3484848484848486,1.0,[2]
2.398989898989899,1.0,[2]
2.44949494949495,1.0,[2]
2.5,1.0,[2]
