vel_x_space,leg_1,action
6.161616161616163,1.0,[1]
6.363636363636363,1.0,[1]
6.565656565656564,1.0,[1]
6.767676767676768,1.0,[1]
6.969696969696969,1.0,[1]
7.171717171717173,1.0,[1]
7.373737373737374,1.0,[1]
7.575757575757574,1.0,[1]
7.777777777777779,1.0,[1]
7.979797979797979,1.0,[1]
8.18181818181818,1.0,[1]
8.383838383838384,1.0,[1]
8.585858585858585,1.0,[1]
8.787878787878789,1.0,[1]
8.98989898989899,1.0,[1]
9.19191919191919,1.0,[1]
9.393939393939394,1.0,[1]
9.595959595959595,1.0,[1]
9.7979797979798,1.0,[1]
10.0,1.0,[1]
