vel_x_space,angular_vel,action
-1.5151515151515156,-9.797979797979798,[1]
-1.3131313131313131,-9.797979797979798,[1]
-1.1111111111111107,-9.797979797979798,[1]
-0.9090909090909101,-9.797979797979798,[1]
-0.7070707070707076,-9.797979797979798,[1]
-0.5050505050505052,-9.797979797979798,[1]
-0.30303030303030276,-9.797979797979798,[1]
-0.10101010101010033,-9.797979797979798,[1]
0.10101010101010033,-9.797979797979798,[1]
0.30303030303030276,-9.797979797979798,[1]
0.5050505050505052,-9.797979797979798,[1]
0.7070707070707076,-9.797979797979798,[1]
0.9090909090909083,-9.797979797979798,[1]
1.1111111111111107,-9.797979797979798,[1]
1.3131313131313131,-9.797979797979798,[1]
1.5151515151515156,-9.797979797979798,[1]
1.7171717171717162,-9.797979797979798,[1]
1.9191919191919187,-9.797979797979798,[1]
2.121212121212121,-9.797979797979798,[1]
2.3232323232323235,-9.797979797979798,[1]
2.525252525252524,-9.797979797979798,[1]
2.7272727272727266,-9.797979797979798,[1]
2.929292929292929,-9.797979797979798,[1]
3.1313131313131315,-9.797979797979798,[1]
3.333333333333334,-9.797979797979798,[1]
3.5353535353535346,-9.797979797979798,[1]
3.737373737373737,-9.797979797979798,[1]
3.9393939393939394,-9.797979797979798,[1]
4.141414141414142,-9.797979797979798,[1]
4.3434343434343425,-9.797979797979798,[1]
4.545454545454545,-9.797979797979798,[1]
4.747474747474747,-9.797979797979798,[1]
4.94949494949495,-9.797979797979798,[1]
5.1515151515151505,-9.797979797979798,[1]
5.353535353535353,-9.797979797979798,[1]
5.555555555555555,-9.797979797979798,[1]
5.757575757575758,-9.797979797979798,[1]
5.9595959595959584,-9.797979797979798,[1]
6.161616161616163,-9.797979797979798,[1]
6.363636363636363,-9.797979797979798,[1]
6.565656565656564,-9.797979797979798,[1]
6.767676767676768,-9.797979797979798,[1]
6.969696969696969,-9.797979797979798,[1]
7.171717171717173,-9.797979797979798,[1]
7.373737373737374,-9.797979797979798,[1]
7.575757575757574,-9.797979797979798,[1]
7.777777777777779,-9.797979797979798,[1]
