vel_y_space,angle,action
-3.333333333333333,-5.902212121212122,[2]
-3.1313131313131315,-5.902212121212122,[2]
-2.929292929292929,-5.902212121212122,[2]
-2.7272727272727275,-5.902212121212122,[2]
-2.525252525252525,-5.902212121212122,[2]
-2.3232323232323235,-5.902212121212122,[2]
-2.121212121212121,-5.902212121212122,[2]
-1.9191919191919187,-5.902212121212122,[2]
-1.717171717171718,-5.902212121212122,[2]
-1.5151515151515156,-5.902212121212122,[2]
-1.3131313131313131,-5.902212121212122,[1]
-1.1111111111111107,-5.902212121212122,[1]
-0.9090909090909101,-5.902212121212122,[1]
-0.7070707070707076,-5.902212121212122,[1]
-0.5050505050505052,-5.902212121212122,[1]
-0.30303030303030276,-5.902212121212122,[1]
-0.10101010101010033,-5.902212121212122,[1]
0.10101010101010033,-5.902212121212122,[1]
0.30303030303030276,-5.902212121212122,[1]
0.5050505050505052,-5.902212121212122,[1]
0.7070707070707076,-5.902212121212122,[1]
0.9090909090909083,-5.902212121212122,[1]
1.1111111111111107,-5.902212121212122,[1]
1.3131313131313131,-5.902212121212122,[1]
1.5151515151515156,-5.902212121212122,[1]
1.7171717171717162,-5.902212121212122,[1]
1.9191919191919187,-5.902212121212122,[1]
2.121212121212121,-5.902212121212122,[1]
2.3232323232323235,-5.902212121212122,[1]
2.525252525252524,-5.902212121212122,[0]
2.7272727272727266,-5.902212121212122,[0]
2.929292929292929,-5.902212121212122,[0]
3.1313131313131315,-5.902212121212122,[0]
3.333333333333334,-5.902212121212122,[0]
3.5353535353535346,-5.902212121212122,[0]
3.737373737373737,-5.902212121212122,[0]
3.9393939393939394,-5.902212121212122,[0]
4.141414141414142,-5.902212121212122,[0]
4.3434343434343425,-5.902212121212122,[0]
4.545454545454545,-5.902212121212122,[0]
4.747474747474747,-5.902212121212122,[0]
4.94949494949495,-5.902212121212122,[0]
5.1515151515151505,-5.902212121212122,[0]
5.353535353535353,-5.902212121212122,[0]
5.555555555555555,-5.902212121212122,[0]
5.757575757575758,-5.902212121212122,[0]
5.9595959595959584,-5.902212121212122,[0]
6.161616161616163,-5.902212121212122,[0]
6.363636363636363,-5.902212121212122,[0]
6.565656565656564,-5.902212121212122,[0]
6.767676767676768,-5.902212121212122,[0]
6.969696969696969,-5.902212121212122,[0]
7.171717171717173,-5.902212121212122,[0]
7.373737373737374,-5.902212121212122,[0]
7.575757575757574,-5.902212121212122,[0]
7.777777777777779,-5.902212121212122,[0]
7.979797979797979,-5.902212121212122,[0]
8.18181818181818,-5.902212121212122,[0]
8.383838383838384,-5.902212121212122,[0]
8.585858585858585,-5.902212121212122,[0]
8.787878787878789,-5.902212121212122,[0]
8.98989898989899,-5.902212121212122,[0]
9.19191919191919,-5.902212121212122,[0]
9.393939393939394,-5.902212121212122,[0]
9.595959595959595,-5.902212121212122,[0]
9.7979797979798,-5.902212121212122,[0]
10.0,-5.902212121212122,[0]
-10.0,-5.775282828282829,[2]
-9.797979797979798,-5.775282828282829,[2]
-9.595959595959595,-5.775282828282829,[2]
-9.393939393939394,-5.775282828282829,[2]
-9.191919191919192,-5.775282828282829,[2]
-8.98989898989899,-5.775282828282829,[2]
-8.787878787878787,-5.775282828282829,[2]
-8.585858585858587,-5.775282828282829,[2]
-8.383838383838384,-5.775282828282829,[2]
-8.181818181818182,-5.775282828282829,[2]
-7.979797979797979,-5.775282828282829,[2]
-7.777777777777778,-5.775282828282829,[2]
-7.575757575757576,-5.775282828282829,[2]
-7.373737373737374,-5.775282828282829,[2]
-7.171717171717171,-5.775282828282829,[2]
-6.96969696969697,-5.775282828282829,[2]
-6.767676767676768,-5.775282828282829,[2]
-6.565656565656566,-5.775282828282829,[2]
-6.363636363636363,-5.775282828282829,[2]
-6.161616161616162,-5.775282828282829,[2]
-5.959595959595959,-5.775282828282829,[2]
-5.757575757575758,-5.775282828282829,[2]
-5.555555555555555,-5.775282828282829,[2]
-5.353535353535354,-5.775282828282829,[2]
-5.151515151515151,-5.775282828282829,[2]
-4.94949494949495,-5.775282828282829,[2]
-4.747474747474747,-5.775282828282829,[2]
-4.545454545454546,-5.775282828282829,[2]
-4.343434343434343,-5.775282828282829,[2]
-4.141414141414142,-5.775282828282829,[2]
-3.9393939393939394,-5.775282828282829,[2]
-3.737373737373738,-5.775282828282829,[2]
-3.5353535353535355,-5.775282828282829,[2]
-3.333333333333333,-5.775282828282829,[2]
-3.1313131313131315,-5.775282828282829,[2]
-2.929292929292929,-5.775282828282829,[2]
-2.7272727272727275,-5.775282828282829,[2]
-2.525252525252525,-5.775282828282829,[2]
-2.3232323232323235,-5.775282828282829,[2]
-2.121212121212121,-5.775282828282829,[2]
-1.9191919191919187,-5.775282828282829,[2]
-1.717171717171718,-5.775282828282829,[2]
-1.5151515151515156,-5.775282828282829,[2]
-1.3131313131313131,-5.775282828282829,[1]
-1.1111111111111107,-5.775282828282829,[1]
-0.9090909090909101,-5.775282828282829,[1]
-0.7070707070707076,-5.775282828282829,[1]
-0.5050505050505052,-5.775282828282829,[1]
-0.30303030303030276,-5.775282828282829,[1]
-0.10101010101010033,-5.775282828282829,[1]
0.10101010101010033,-5.775282828282829,[1]
0.30303030303030276,-5.775282828282829,[1]
0.5050505050505052,-5.775282828282829,[1]
0.7070707070707076,-5.775282828282829,[1]
0.9090909090909083,-5.775282828282829,[1]
1.1111111111111107,-5.775282828282829,[1]
1.3131313131313131,-5.775282828282829,[1]
1.5151515151515156,-5.775282828282829,[1]
1.7171717171717162,-5.775282828282829,[1]
1.9191919191919187,-5.775282828282829,[1]
2.121212121212121,-5.775282828282829,[1]
2.3232323232323235,-5.775282828282829,[1]
2.525252525252524,-5.775282828282829,[0]
2.7272727272727266,-5.775282828282829,[0]
2.929292929292929,-5.775282828282829,[0]
3.1313131313131315,-5.775282828282829,[0]
3.333333333333334,-5.775282828282829,[0]
3.5353535353535346,-5.775282828282829,[0]
3.737373737373737,-5.775282828282829,[0]
3.9393939393939394,-5.775282828282829,[0]
4.141414141414142,-5.775282828282829,[0]
4.3434343434343425,-5.775282828282829,[0]
4.545454545454545,-5.775282828282829,[0]
4.747474747474747,-5.775282828282829,[0]
4.94949494949495,-5.775282828282829,[0]
5.1515151515151505,-5.775282828282829,[0]
5.353535353535353,-5.775282828282829,[0]
5.555555555555555,-5.775282828282829,[0]
