y_space,angle,action
-2.5,-6.283,[2]
-2.4494949494949494,-6.283,[2]
-2.398989898989899,-6.283,[2]
-2.3484848484848486,-6.283,[2]
-2.297979797979798,-6.283,[2]
-2.2474747474747474,-6.283,[2]
-2.196969696969697,-6.283,[2]
-2.1464646464646466,-6.283,[2]
-2.095959595959596,-6.283,[2]
-2.0454545454545454,-6.283,[2]
-1.9949494949494948,-6.283,[2]
-1.9444444444444444,-6.283,[2]
-1.893939393939394,-6.283,[2]
-1.8434343434343434,-6.283,[2]
-1.7929292929292928,-6.283,[2]
-1.7424242424242424,-6.283,[2]
-1.691919191919192,-6.283,[2]
-1.6414141414141414,-6.283,[2]
-1.5909090909090908,-6.283,[2]
-1.5404040404040404,-6.283,[2]
-1.4898989898989898,-6.283,[2]
-1.4393939393939394,-6.283,[2]
-1.3888888888888888,-6.283,[2]
-1.3383838383838385,-6.283,[2]
-1.2878787878787878,-6.283,[2]
-1.2373737373737375,-6.283,[2]
-1.1868686868686869,-6.283,[2]
-1.1363636363636365,-6.283,[2]
-1.0858585858585859,-6.283,[2]
-1.0353535353535355,-6.283,[2]
-0.9848484848484849,-6.283,[2]
-0.9343434343434345,-6.283,[2]
-0.8838383838383839,-6.283,[2]
-0.8333333333333333,-6.283,[2]
-0.7828282828282829,-6.283,[2]
-0.7323232323232323,-6.283,[2]
-0.6818181818181819,-6.283,[2]
-0.6313131313131313,-6.283,[2]
-0.5808080808080809,-6.283,[2]
-0.5303030303030303,-6.283,[1]
-0.47979797979797967,-6.283,[1]
-0.4292929292929295,-6.283,[1]
-0.3787878787878789,-6.283,[1]
-0.3282828282828283,-6.283,[1]
-0.2777777777777777,-6.283,[1]
-0.22727272727272751,-6.283,[1]
-0.1767676767676769,-6.283,[1]
-0.1262626262626263,-6.283,[1]
-0.07575757575757569,-6.283,[1]
-0.025252525252525082,-6.283,[1]
0.025252525252525082,-6.283,[1]
0.07575757575757569,-6.283,[1]
0.1262626262626263,-6.283,[1]
0.1767676767676769,-6.283,[1]
0.22727272727272707,-6.283,[1]
0.2777777777777777,-6.283,[1]
0.3282828282828283,-6.283,[1]
0.3787878787878789,-6.283,[1]
0.42929292929292906,-6.283,[1]
0.47979797979797967,-6.283,[1]
0.5303030303030303,-6.283,[1]
0.5808080808080809,-6.283,[1]
0.631313131313131,-6.283,[1]
0.6818181818181817,-6.283,[1]
0.7323232323232323,-6.283,[1]
0.7828282828282829,-6.283,[1]
0.8333333333333335,-6.283,[1]
0.8838383838383836,-6.283,[1]
0.9343434343434343,-6.283,[1]
0.9848484848484849,-6.283,[1]
1.0353535353535355,-6.283,[1]
1.0858585858585856,-6.283,[1]
1.1363636363636362,-6.283,[1]
1.1868686868686869,-6.283,[1]
1.2373737373737375,-6.283,[1]
1.2878787878787876,-6.283,[1]
1.3383838383838382,-6.283,[1]
1.3888888888888888,-6.283,[1]
1.4393939393939394,-6.283,[1]
1.4898989898989896,-6.283,[1]
1.5404040404040407,-6.283,[1]
1.5909090909090908,-6.283,[1]
1.641414141414141,-6.283,[1]
1.691919191919192,-6.283,[1]
1.7424242424242422,-6.283,[1]
1.7929292929292933,-6.283,[1]
1.8434343434343434,-6.283,[1]
1.8939393939393936,-6.283,[1]
1.9444444444444446,-6.283,[1]
1.9949494949494948,-6.283,[1]
2.045454545454545,-6.283,[1]
2.095959595959596,-6.283,[1]
2.146464646464646,-6.283,[1]
2.1969696969696972,-6.283,[1]
2.2474747474747474,-6.283,[1]
2.2979797979797976,-6.283,[1]
2.3484848484848486,-6.283,[1]
2.398989898989899,-6.283,[1]
2.44949494949495,-6.283,[1]
2.5,-6.283,[1]
-2.5,-6.1560707070707075,[2]
-2.4494949494949494,-6.1560707070707075,[2]
-2.398989898989899,-6.1560707070707075,[2]
-2.3484848484848486,-6.1560707070707075,[2]
-2.297979797979798,-6.1560707070707075,[2]
-2.2474747474747474,-6.1560707070707075,[2]
-2.196969696969697,-6.1560707070707075,[2]
-2.1464646464646466,-6.1560707070707075,[2]
-2.095959595959596,-6.1560707070707075,[2]
-2.0454545454545454,-6.1560707070707075,[2]
-1.9949494949494948,-6.1560707070707075,[2]
-1.9444444444444444,-6.1560707070707075,[2]
-1.893939393939394,-6.1560707070707075,[2]
-1.8434343434343434,-6.1560707070707075,[2]
-1.7929292929292928,-6.1560707070707075,[2]
-1.7424242424242424,-6.1560707070707075,[2]
-1.691919191919192,-6.1560707070707075,[2]
-1.6414141414141414,-6.1560707070707075,[2]
-1.5909090909090908,-6.1560707070707075,[2]
-1.5404040404040404,-6.1560707070707075,[2]
-1.4898989898989898,-6.1560707070707075,[2]
-1.4393939393939394,-6.1560707070707075,[2]
-1.3888888888888888,-6.1560707070707075,[2]
-1.3383838383838385,-6.1560707070707075,[2]
-1.2878787878787878,-6.1560707070707075,[2]
-1.2373737373737375,-6.1560707070707075,[2]
-1.1868686868686869,-6.1560707070707075,[2]
-1.1363636363636365,-6.1560707070707075,[2]
-1.0858585858585859,-6.1560707070707075,[2]
-1.0353535353535355,-6.1560707070707075,[2]
-0.9848484848484849,-6.1560707070707075,[2]
-0.9343434343434345,-6.1560707070707075,[2]
-0.8838383838383839,-6.1560707070707075,[2]
-0.8333333333333333,-6.1560707070707075,[2]
-0.7828282828282829,-6.1560707070707075,[2]
-0.7323232323232323,-6.1560707070707075,[2]
-0.6818181818181819,-6.1560707070707075,[2]
-0.6313131313131313,-6.1560707070707075,[2]
-0.5808080808080809,-6.1560707070707075,[2]
-0.5303030303030303,-6.1560707070707075,[1]
-0.47979797979797967,-6.1560707070707075,[1]
-0.4292929292929295,-6.1560707070707075,[1]
-0.3787878787878789,-6.1560707070707075,[1]
-0.3282828282828283,-6.1560707070707075,[1]
-0.2777777777777777,-6.1560707070707075,[1]
-0.22727272727272751,-6.1560707070707075,[1]
-0.1767676767676769,-6.1560707070707075,[1]
-0.1262626262626263,-6.1560707070707075,[1]
-0.07575757575757569,-6.1560707070707075,[1]
-0.025252525252525082,-6.1560707070707075,[1]
0.025252525252525082,-6.1560707070707075,[1]
0.07575757575757569,-6.1560707070707075,[1]
0.1262626262626263,-6.1560707070707075,[1]
0.1767676767676769,-6.1560707070707075,[1]
