x_space,y_space,action
-2.5,-2.5,[2]
-2.4494949494949494,-2.5,[2]
-2.398989898989899,-2.5,[2]
-2.3484848484848486,-2.5,[2]
-2.297979797979798,-2.5,[2]
-2.2474747474747474,-2.5,[2]
-2.196969696969697,-2.5,[2]
-2.1464646464646466,-2.5,[2]
-2.095959595959596,-2.5,[2]
-2.0454545454545454,-2.5,[2]
-1.9949494949494948,-2.5,[2]
-1.9444444444444444,-2.5,[2]
-1.893939393939394,-2.5,[2]
-1.8434343434343434,-2.5,[2]
-1.7929292929292928,-2.5,[2]
-1.7424242424242424,-2.5,[2]
-1.691919191919192,-2.5,[2]
-1.6414141414141414,-2.5,[2]
-1.5909090909090908,-2.5,[2]
-1.5404040404040404,-2.5,[2]
-1.4898989898989898,-2.5,[2]
-1.4393939393939394,-2.5,[2]
-1.3888888888888888,-2.5,[2]
-1.3383838383838385,-2.5,[2]
-1.2878787878787878,-2.5,[2]
-1.2373737373737375,-2.5,[2]
-1.1868686868686869,-2.5,[2]
-1.1363636363636365,-2.5,[2]
-1.0858585858585859,-2.5,[2]
-1.0353535353535355,-2.5,[2]
-0.9848484848484849,-2.5,[2]
-0.9343434343434345,-2.5,[2]
-0.8838383838383839,-2.5,[2]
-0.8333333333333333,-2.5,[2]
-0.7828282828282829,-2.5,[2]
-0.7323232323232323,-2.5,[2]
-0.6818181818181819,-2.5,[2]
-0.6313131313131313,-2.5,[2]
-0.5808080808080809,-2.5,[2]
-0.5303030303030303,-2.5,[2]
-0.47979797979797967,-2.5,[2]
-0.4292929292929295,-2.5,[2]
-0.3787878787878789,-2.5,[2]
-0.3282828282828283,-2.5,[2]
-0.2777777777777777,-2.5,[2]
-0.22727272727272751,-2.5,[2]
-0.1767676767676769,-2.5,[2]
-0.1262626262626263,-2.5,[2]
-0.07575757575757569,-2.5,[2]
-0.025252525252525082,-2.5,[2]
0.025252525252525082,-2.5,[2]
0.07575757575757569,-2.5,[2]
0.1262626262626263,-2.5,[2]
0.1767676767676769,-2.5,[2]
0.22727272727272707,-2.5,[2]
0.2777777777777777,-2.5,[2]
0.3282828282828283,-2.5,[2]
0.3787878787878789,-2.5,[2]
0.42929292929292906,-2.5,[2]
0.47979797979797967,-2.5,[2]
0.5303030303030303,-2.5,[2]
0.5808080808080809,-2.5,[2]
0.631313131313131,-2.5,[2]
0.6818181818181817,-2.5,[2]
0.7323232323232323,-2.5,[2]
0.7828282828282829,-2.5,[2]
0.8333333333333335,-2.5,[2]
0.8838383838383836,-2.5,[2]
0.9343434343434343,-2.5,[2]
0.9848484848484849,-2.5,[2]
1.0353535353535355,-2.5,[2]
1.0858585858585856,-2.5,[2]
1.1363636363636362,-2.5,[2]
1.1868686868686869,-2.5,[2]
1.2373737373737375,-2.5,[2]
1.2878787878787876,-2.5,[2]
1.3383838383838382,-2.5,[2]
1.3888888888888888,-2.5,[2]
1.4393939393939394,-2.5,[2]
1.4898989898989896,-2.5,[2]
1.5404040404040407,-2.5,[2]
1.5909090909090908,-2.5,[2]
1.641414141414141,-2.5,[2]
1.691919191919192,-2.5,[2]
1.7424242424242422,-2.5,[2]
1.7929292929292933,-2.5,[2]
1.8434343434343434,-2.5,[2]
1.8939393939393936,-2.5,[2]
1.9444444444444446,-2.5,[2]
1.9949494949494948,-2.5,[2]
2.045454545454545,-2.5,[2]
2.095959595959596,-2.5,[2]
2.146464646464646,-2.5,[2]
2.1969696969696972,-2.5,[2]
2.2474747474747474,-2.5,[2]
2.2979797979797976,-2.5,[2]
2.3484848484848486,-2.5,[2]
2.398989898989899,-2.5,[2]
2.44949494949495,-2.5,[2]
2.5,-2.5,[2]
-2.5,-2.4494949494949494,[2]
-2.4494949494949494,-2.4494949494949494,[2]
-2.398989898989899,-2.4494949494949494,[2]
-2.3484848484848486,-2.4494949494949494,[2]
-2.297979797979798,-2.4494949494949494,[2]
-2.2474747474747474,-2.4494949494949494,[2]
-2.196969696969697,-2.4494949494949494,[2]
-2.1464646464646466,-2.4494949494949494,[2]
-2.095959595959596,-2.4494949494949494,[2]
-2.0454545454545454,-2.4494949494949494,[2]
-1.9949494949494948,-2.4494949494949494,[2]
-1.9444444444444444,-2.4494949494949494,[2]
-1.893939393939394,-2.4494949494949494,[2]
-1.8434343434343434,-2.4494949494949494,[2]
-1.7929292929292928,-2.4494949494949494,[2]
-1.7424242424242424,-2.4494949494949494,[2]
-1.691919191919192,-2.4494949494949494,[2]
-1.6414141414141414,-2.4494949494949494,[2]
-1.5909090909090908,-2.4494949494949494,[2]
-1.5404040404040404,-2.4494949494949494,[2]
-1.4898989898989898,-2.4494949494949494,[2]
-1.4393939393939394,-2.4494949494949494,[2]
-1.3888888888888888,-2.4494949494949494,[2]
-1.3383838383838385,-2.4494949494949494,[2]
-1.2878787878787878,-2.4494949494949494,[2]
-1.2373737373737375,-2.4494949494949494,[2]
-1.1868686868686869,-2.4494949494949494,[2]
-1.1363636363636365,-2.4494949494949494,[2]
-1.0858585858585859,-2.4494949494949494,[2]
-1.0353535353535355,-2.4494949494949494,[2]
-0.9848484848484849,-2.4494949494949494,[2]
-0.9343434343434345,-2.4494949494949494,[2]
-0.8838383838383839,-2.4494949494949494,[2]
-0.8333333333333333,-2.4494949494949494,[2]
-0.7828282828282829,-2.4494949494949494,[2]
-0.7323232323232323,-2.4494949494949494,[2]
-0.6818181818181819,-2.4494949494949494,[2]
-0.6313131313131313,-2.4494949494949494,[2]
-0.5808080808080809,-2.4494949494949494,[2]
-0.5303030303030303,-2.4494949494949494,[2]
-0.47979797979797967,-2.4494949494949494,[2]
-0.4292929292929295,-2.4494949494949494,[2]
-0.3787878787878789,-2.4494949494949494,[2]
-0.3282828282828283,-2.4494949494949494,[2]
-0.2777777777777777,-2.4494949494949494,[2]
-0.22727272727272751,-2.4494949494949494,[2]
-0.1767676767676769,-2.4494949494949494,[2]
-0.1262626262626263,-2.4494949494949494,[2]
-0.07575757575757569,-2.4494949494949494,[2]
-0.025252525252525082,-2.4494949494949494,[2]
0.025252525252525082,-2.4494949494949494,[2]
0.07575757575757569,-2.4494949494949494,[2]
0.1262626262626263,-2.4494949494949494,[2]
0.1767676767676769,-2.4494949494949494,[2]
0.22727272727272707,-2.4494949494949494,[2]
0.2777777777777777,-2.4494949494949494,[2]
0.3282828282828283,-2.4494949494949494,[2]
0.3787878787878789,-2.4494949494949494,[2]
0.42929292929292906,-2.4494949494949494,[2]
0.47979797979797967,-2.4494949494949494,[2]
0.5303030303030303,-2.4494949494949494,[2]
0.5808080808080809,-2.4494949494949494,[2]
0.631313131313131,-2.4494949494949494,[2]
0.6818181818181817,-2.4494949494949494,[2]
0.7323232323232323,-2.4494949494949494,[2]
0.7828282828282829,-2.4494949494949494,[2]
0.8333333333333335,-2.4494949494949494,[2]
0.8838383838383836,-2.4494949494949494,[2]
0.9343434343434343,-2.4494949494949494,[2]
0.9848484848484849,-2.4494949494949494,[2]
1.0353535353535355,-2.4494949494949494,[2]
1.0858585858585856,-2.4494949494949494,[2]
1.1363636363636362,-2.4494949494949494,[2]
1.1868686868686869,-2.4494949494949494,[2]
1.2373737373737375,-2.4494949494949494,[2]
1.2878787878787876,-2.4494949494949494,[2]
1.3383838383838382,-2.4494949494949494,[2]
1.3888888888888888,-2.4494949494949494,[2]
1.4393939393939394,-2.4494949494949494,[2]
1.4898989898989896,-2.4494949494949494,[2]
1.5404040404040407,-2.4494949494949494,[2]
1.5909090909090908,-2.4494949494949494,[2]
1.641414141414141,-2.4494949494949494,[2]
1.691919191919192,-2.4494949494949494,[2]
1.7424242424242422,-2.4494949494949494,[2]
1.7929292929292933,-2.4494949494949494,[2]
1.8434343434343434,-2.4494949494949494,[2]
1.8939393939393936,-2.4494949494949494,[2]
1.9444444444444446,-2.4494949494949494,[2]
1.9949494949494948,-2.4494949494949494,[2]
2.045454545454545,-2.4494949494949494,[2]
2.095959595959596,-2.4494949494949494,[2]
2.146464646464646,-2.4494949494949494,[2]
2.1969696969696972,-2.4494949494949494,[2]
2.2474747474747474,-2.4494949494949494,[2]
2.2979797979797976,-2.4494949494949494,[2]
2.3484848484848486,-2.4494949494949494,[2]
2.398989898989899,-2.4494949494949494,[2]
2.44949494949495,-2.4494949494949494,[2]
2.5,-2.4494949494949494,[2]
-2.5,-2.398989898989899,[2]
-2.4494949494949494,-2.398989898989899,[2]
-2.398989898989899,-2.398989898989899,[2]
-2.3484848484848486,-2.398989898989899,[2]
-2.297979797979798,-2.398989898989899,[2]
-2.2474747474747474,-2.398989898989899,[2]
-2.196969696969697,-2.398989898989899,[2]
-2.1464646464646466,-2.398989898989899,[2]
-2.095959595959596,-2.398989898989899,[2]
-2.0454545454545454,-2.398989898989899,[2]
-1.9949494949494948,-2.398989898989899,[2]
-1.9444444444444444,-2.398989898989899,[2]
-1.893939393939394,-2.398989898989899,[2]
-1.8434343434343434,-2.398989898989899,[2]
-1.7929292929292928,-2.398989898989899,[2]
-1.7424242424242424,-2.398989898989899,[2]
-1.691919191919192,-2.398989898989899,[2]
-1.6414141414141414,-2.398989898989899,[2]
-1.5909090909090908,-2.398989898989899,[2]
-1.5404040404040404,-2.398989898989899,[2]
-1.4898989898989898,-2.398989898989899,[2]
-1.4393939393939394,-2.398989898989899,[2]
-1.3888888888888888,-2.398989898989899,[2]
-1.3383838383838385,-2.398989898989899,[2]
-1.2878787878787878,-2.398989898989899,[2]
-1.2373737373737375,-2.398989898989899,[2]
-1.1868686868686869,-2.398989898989899,[2]
-1.1363636363636365,-2.398989898989899,[2]
-1.0858585858585859,-2.398989898989899,[2]
-1.0353535353535355,-2.398989898989899,[2]
-0.9848484848484849,-2.398989898989899,[2]
-0.9343434343434345,-2.398989898989899,[2]
-0.8838383838383839,-2.398989898989899,[2]
