x_space,angular_vel,action
-0.6313131313131313,-9.797979797979798,[1]
-0.5808080808080809,-9.797979797979798,[1]
-0.5303030303030303,-9.797979797979798,[1]
-0.47979797979797967,-9.797979797979798,[1]
-0.4292929292929295,-9.797979797979798,[1]
-0.3787878787878789,-9.797979797979798,[1]
-0.3282828282828283,-9.797979797979798,[1]
-0.2777777777777777,-9.797979797979798,[1]
-0.22727272727272751,-9.797979797979798,[1]
-0.1767676767676769,-9.797979797979798,[1]
-0.1262626262626263,-9.797979797979798,[1]
-0.07575757575757569,-9.797979797979798,[1]
-0.025252525252525082,-9.797979797979798,[1]
0.025252525252525082,-9.797979797979798,[1]
0.07575757575757569,-9.797979797979798,[1]
0.1262626262626263,-9.797979797979798,[1]
0.1767676767676769,-9.797979797979798,[1]
0.22727272727272707,-9.797979797979798,[1]
0.2777777777777777,-9.797979797979798,[1]
0.3282828282828283,-9.797979797979798,[1]
0.3787878787878789,-9.797979797979798,[1]
0.42929292929292906,-9.797979797979798,[1]
0.47979797979797967,-9.797979797979798,[1]
0.5303030303030303,-9.797979797979798,[1]
0.5808080808080809,-9.797979797979798,[1]
0.631313131313131,-9.797979797979798,[1]
0.6818181818181817,-9.797979797979798,[1]
0.7323232323232323,-9.797979797979798,[1]
0.7828282828282829,-9.797979797979798,[1]
0.8333333333333335,-9.797979797979798,[1]
0.8838383838383836,-9.797979797979798,[1]
0.9343434343434343,-9.797979797979798,[1]
0.9848484848484849,-9.797979797979798,[1]
1.0353535353535355,-9.797979797979798,[1]
1.0858585858585856,-9.797979797979798,[1]
1.1363636363636362,-9.797979797979798,[1]
1.1868686868686869,-9.797979797979798,[1]
1.2373737373737375,-9.797979797979798,[1]
1.2878787878787876,-9.797979797979798,[1]
1.3383838383838382,-9.797979797979798,[1]
1.3888888888888888,-9.797979797979798,[2]
1.4393939393939394,-9.797979797979798,[2]
1.4898989898989896,-9.797979797979798,[2]
1.5404040404040407,-9.797979797979798,[2]
1.5909090909090908,-9.797979797979798,[2]
1.641414141414141,-9.797979797979798,[2]
1.691919191919192,-9.797979797979798,[2]
1.7424242424242422,-9.797979797979798,[2]
1.7929292929292933,-9.797979797979798,[2]
1.8434343434343434,-9.797979797979798,[2]
1.8939393939393936,-9.797979797979798,[2]
1.9444444444444446,-9.797979797979798,[2]
1.9949494949494948,-9.797979797979798,[2]
2.045454545454545,-9.797979797979798,[2]
2.095959595959596,-9.797979797979798,[2]
