depths,mean_rewards,std_rewards
1,-320.67347512797755,7.475057758417205
2,-320.67347512797755,7.475057758417205
3,-343.87168173475686,14.810102317409813
4,-364.9912414042454,10.728571853647294
5,-336.7108547804019,12.102845906478708
6,-257.66111867279153,15.408325998603983
7,-237.34357521404468,14.784098340596781
8,-191.08993407279343,13.15686441153438
9,-187.28341532901683,16.889056714603033
10,-1.9176782104628465,20.431557049980157
11,-76.66532882552383,23.942655751777
12,-64.22250173443518,22.884039441247186
13,-31.60166250231501,25.72767018084147
14,17.394821644801606,22.017290873150593
15,-33.48663651357093,24.888313060412404
