depths,mean_rewards,std_rewards
1,-317.35008101776987,79.99744293923256
2,-317.35008101776987,79.99744293923256
3,-326.6599122240277,113.31414700322519
4,-387.9489855491508,149.79404133787435
5,-371.98555114011447,131.06685154742004
6,-342.2959313637359,107.16183166350824
7,-91.65323949795808,171.28326264032708
8,-31.181646029124323,184.3467777295794
9,-21.03319755208056,219.55202135692562
10,19.568330742768183,176.4564552283634
11,87.60526514330633,175.8296126203258
12,26.32774564901798,192.4465719771984
13,24.95778557946411,184.6135948590481
14,42.21663183416233,186.56365681053802
15,76.13970951704522,190.48134512468204
