,importance
y_position,0.23817167129745873
y_velocity,0.22444443519560486
angle,0.1322309283075404
x_velocity,0.11993615478954556
angular_velocity,0.1023934696286991
x_position,0.10197689111154856
right_leg_contact,0.04357285417886374
left_leg_contact,0.0372735954907392
