depths,mean_rewards,std_rewards,seeds_mean_rewards,seeds_std_rewards
1,-454.3262139987548,127.43685728618824,-454.3262139987547,40.2603470278344
2,-647.0629439438753,68.21838712840423,-647.0629439438751,25.127699155610177
3,92.3995862513507,118.41143217599523,92.3995862513507,29.968680849276193
4,-101.20462919540957,216.1491981115497,-101.20462919540955,84.39717417755864
5,44.77399905704453,181.73813422527323,44.773999057044534,67.94602518680877
6,35.070160944374486,170.39612449385922,35.07016094437449,68.30295101592958
7,115.0057383014841,157.50739346574412,115.0057383014841,47.52452279975439
8,84.78335541001582,149.9586866567346,84.78335541001582,52.794624502597955
9,-6.423163808023203,150.5829454188348,-6.423163808023199,47.957854603221506
10,118.10476607424982,175.14278510593815,118.1047660742498,47.59630767882922
11,154.47795636797983,136.04523924803783,154.47795636797986,57.92399700452684
12,134.9010839526444,146.01402434421362,134.9010839526444,39.42646765647204
13,173.81429642361434,110.46629222760373,173.81429642361434,31.909216297851792
14,214.21453823305131,86.46376757607425,214.21453823305131,23.939956948232393
15,188.8406621522471,108.61843768631212,188.8406621522471,30.038020366180266
