depths,mean_rewards,std_rewards
1,-303.6927966449685,16.892643640630837
2,-303.6927966449685,16.892643640630837
3,-291.85727937399093,30.429231049686283
4,-218.2673245412325,38.85808195499214
5,-58.702977779929334,26.663646306118068
6,-160.90329696989153,32.29764635302341
7,-39.880113112303775,46.50525497258227
8,102.23292237253831,24.950550067919917
9,138.27771996221483,54.8855637969086
10,159.60480581538246,30.162490575190347
11,120.19795138246445,56.63192556244183
12,142.55199088862426,46.80362511611812
13,143.6435022414811,19.836241539552656
14,125.10932011126509,46.685687192186165
15,153.52994861733427,37.05856417448
