#{"t_start": 1736516267.0675635, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,2.639494
-94.240603,64,2.666051
-100.28406,101,2.711797
-303.886121,66,2.746692
-62.225048,69,2.780022
-271.899286,82,2.815151
-140.36869,84,2.848978
-284.955487,119,2.901741
-265.812776,69,2.934141
-110.020794,72,2.964292
-481.839688,97,3.007454
-96.243004,100,3.154407
-461.246125,181,3.981409
-519.042068,192,4.82244
-356.918955,188,5.709563
-510.716924,194,6.904614
-63.253515,193,7.958114
-385.967819,170,9.099175
-203.56687,194,10.142111
-297.88274,240,11.19936
-90.261179,292,12.423569
-264.176114,316,13.727951
-46.628436,220,14.585176
-256.442167,385,16.439931
-96.582249,419,18.604414
-328.642071,248,19.851484
40.087933,400,22.084108
