#{"t_start": 1736441020.9403574, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,2.207634
-94.240603,64,2.231634
-100.28406,101,2.267634
-303.886121,66,2.291634
-62.225048,69,2.318635
-271.899286,82,2.348634
-140.36869,84,2.378634
-284.955487,119,2.422634
-265.812776,69,2.447634
-110.020794,72,2.473634
-481.839688,97,2.509635
-75.012478,100,2.645633
-121.645225,101,3.255888
-26.943984,122,3.996158
-182.728782,120,4.596157
-337.87134,137,5.275034
-137.722605,114,5.813551
-45.26615,137,6.545558
-57.182527,104,7.000594
-155.048801,125,7.617337
-188.973671,117,8.224911
-153.077719,122,8.924285
-333.729588,228,10.223498
-108.851571,240,11.522018
-145.736114,282,12.785863
16.120761,303,14.178412
14.539129,261,15.357332
-63.968455,80,15.633268
-38.447056,425,17.727397
-5.362389,212,18.581636
-137.006456,745,22.690733
-150.82124,1000,27.525228
-133.224822,264,28.731677
-112.023513,1000,34.950122
-140.435947,1000,40.97512
-115.785909,1000,46.872067
-123.13129,1000,53.26642
-82.703599,1000,54.223548
-127.61248,1000,55.447149
-117.872357,1000,56.800174
-109.277901,1000,58.122537
-170.66289,1000,61.665758
-144.84779,1000,64.643821
-172.531249,1000,67.543419
-90.751056,1000,70.589486
-106.385086,1000,73.682046
-155.592059,1000,76.992651
-109.144797,1000,80.163153
-113.513866,150,80.507247
-131.141947,1000,83.775798
-157.438131,1000,86.886837
-56.93504,1000,90.175478
-120.740101,118,90.220472
-114.651246,1000,91.517396
-115.332108,1000,92.450254
-86.930026,1000,93.353537
-154.576305,1000,96.042267
-96.71522,1000,98.647717
-121.088209,1000,102.126678
-68.30025,1000,105.830236
-21.533302,129,106.164267
-90.862285,180,106.626233
-107.778658,106,106.900063
-63.151918,1000,109.894908
-46.58194,1000,112.476441
-1.346652,1000,115.655281
-67.653844,1000,118.51657
-59.278292,1000,121.802521
-50.712757,1000,124.174309
-25.421285,1000,125.40578
-65.579276,1000,125.96077
-468.861659,78,125.990775
-629.745055,74,126.019777
-703.997808,84,126.237156
-44.984007,123,126.509021
-77.868559,1000,129.498381
-93.087904,248,130.074856
-25.96942,1000,133.288283
-61.003349,1000,135.936995
-25.842459,1000,138.78028
-65.612149,1000,141.335053
-61.008716,1000,144.145963
-25.900755,1000,147.102104
-22.537942,1000,149.878479
-101.424505,1000,152.698707
-59.864532,1000,154.648035
160.954049,835,155.370771
-35.147515,1000,156.02167
-75.538698,1000,156.970738
-77.447796,1000,157.690739
-72.246209,1000,160.818667
-29.331731,1000,164.176424
-49.236249,1000,167.647839
-23.940027,1000,170.724885
-47.930648,1000,173.415051
-37.953337,1000,176.785615
234.608496,422,178.006608
-52.830074,1000,180.859534
-89.585169,1000,184.045745
230.454365,538,185.510062
-51.364798,1000,188.897277
2.362593,1000,189.687035
121.805943,976,190.29103
189.267588,374,190.518035
-27.658076,1000,191.145029
-162.137423,996,191.81803
