#{"t_start": 1736613072.6765811, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,1.778223
-94.240603,64,1.797267
-100.28406,101,1.828257
-303.886121,66,1.850236
-62.225048,69,1.871267
-271.899286,82,1.895234
-140.36869,84,1.918227
-284.955487,119,1.954281
-265.812776,69,1.973231
-110.020794,72,1.993246
-481.839688,97,2.021224
-75.012478,100,2.109224
-121.645225,101,2.430223
-26.943984,122,2.8032
-182.728782,120,3.142195
-337.87134,137,3.539195
-137.722605,114,3.857207
-45.26615,137,4.243209
-57.182527,104,4.550202
-155.048801,125,4.965295
-188.973671,117,5.337294
-153.077719,122,5.723293
-333.729588,228,6.713295
-108.851571,240,7.680809
-145.736114,282,8.626816
16.120761,303,9.698559
14.539129,261,10.49956
-63.968455,80,10.730559
-38.447056,425,12.486665
-5.362389,212,13.196664
-137.006456,745,16.317677
-150.82124,1000,20.356203
-133.224822,264,21.621598
-112.023513,1000,27.159301
-140.435947,1000,32.633616
-115.785909,1000,37.796079
-123.13129,1000,43.543282
-82.703599,1000,45.18629
-127.61248,1000,47.244127
-117.872357,1000,49.092767
-109.277901,1000,51.495013
-170.66289,1000,55.66222
-144.84779,1000,59.706609
-172.531249,1000,63.290666
-90.751056,1000,66.964259
-106.385086,1000,70.500607
-155.592059,1000,74.802249
-109.144797,1000,79.313778
-113.513866,150,79.811977
-131.141947,1000,84.815058
-157.438131,1000,89.288786
-56.93504,1000,93.487175
-120.740101,118,93.537211
-114.651246,1000,95.277397
-115.332108,1000,96.509387
-86.930026,1000,98.047718
-154.576305,1000,102.18053
-96.71522,1000,106.099217
-121.088209,1000,111.356985
-68.30025,1000,116.120017
-21.533302,129,116.474007
-90.862285,180,117.184009
-107.778658,106,117.541057
-63.151918,1000,121.553261
-46.58194,1000,124.814932
-1.346652,1000,129.439398
-67.653844,1000,133.929693
-59.278292,1000,138.665135
-50.712757,1000,142.053797
-25.421285,1000,143.799192
-65.579276,1000,144.581676
-468.861659,78,144.614686
-629.745055,74,144.647716
-703.997808,84,144.887677
-44.984007,123,145.203678
-77.868559,1000,148.781949
-93.087904,248,149.60427
-25.96942,1000,154.025608
-61.003349,1000,157.760999
-25.842459,1000,161.470199
-65.612149,1000,164.860492
-61.008716,1000,169.075733
-25.900755,1000,173.082964
-22.537942,1000,176.92011
-101.424505,1000,181.208747
-59.864532,1000,183.787926
160.954049,835,184.795922
-35.147515,1000,185.680273
-75.538698,1000,187.022252
-77.447796,1000,188.048367
-72.246209,1000,192.262388
-29.331731,1000,197.478189
-49.236249,1000,202.61358
-23.940027,1000,206.630607
-47.930648,1000,210.561807
-37.953337,1000,215.163592
234.608496,422,216.594869
-52.830074,1000,219.899383
-89.585169,1000,223.267547
230.454365,538,225.179032
-51.364798,1000,230.21309
2.362593,1000,231.404129
121.805943,976,232.241779
189.267588,374,232.545788
-27.658076,1000,233.406759
-162.137423,996,234.404977
