PC1,PC2,action
1.201456,0.09439851,0
1.2018801,0.09446971,0
1.2022384,0.0945457,0
1.2024393,0.09461441,0
1.2024502,0.094668016,0
1.202292,0.09470409,0
1.2020222,0.09472516,0
1.2017117,0.094736576,0
1.1991786,0.09449553,0
1.1991277,0.094559856,0
1.1991439,0.09459651,0
1.1991441,0.09459965,0
1.1991442,0.09458944,0
1.1991445,0.09458171,0
1.1991446,0.09458002,0
1.1991446,0.094581395,0
1.1991444,0.094582856,0
1.1991444,0.09458341,0
1.1991444,0.09458325,0
1.1991444,0.09458295,0
1.1991444,0.094582856,0
1.1991444,0.094582856,0
1.1991444,0.09458289,0
1.1991444,0.09458293,0
1.1991444,0.09458293,0
1.1991444,0.09458293,0
1.1991444,0.09458293,0
1.1991444,0.09458293,0
1.1991444,0.09458293,0
1.1991444,0.09458293,0
1.1991444,0.09458293,0
1.1991444,0.09458293,0
1.1991444,0.09458293,0
-0.45370665,0.41625667,1
-0.45586917,0.41321364,1
-0.45808738,0.40974313,1
-0.46010786,0.4058087,1
-0.46202725,0.40143594,0
-0.4638154,0.39629328,0
-0.465464,0.39079383,0
-0.46697298,0.38493675,0
-0.46834254,0.3787226,0
-0.46957242,0.3721512,0
-0.47066298,0.36522263,0
-0.47161388,0.35793668,0
-0.47242537,0.35029376,0
-0.47309718,0.34229335,0
-0.47362947,0.33393574,0
-0.4740222,0.3252209,0
-0.47427556,0.31614885,0
-0.4743893,0.30671963,2
-0.46726534,0.2976609,2
-0.45842025,0.2889539,3
-0.45873195,0.2797878,0
-0.45892674,0.2707793,2
-0.4545351,0.26171196,2
-0.44759434,0.25261194,2
-0.440681,0.24369918,0
-0.4411672,0.23502742,2
-0.4323645,0.22686101,3
-0.4327534,0.21808825,2
-0.42654455,0.20996714,0
-0.42695972,0.20164989,2
-0.4240894,0.19310366,2
-0.41700518,0.18487835,0
-0.41741365,0.17656052,2
-0.4115726,0.1679228,2
-0.4048725,0.15986115,3
-0.40537184,0.151415,2
-0.39958003,0.14341727,2
-0.39247915,0.13593605,0
-0.3931054,0.12827525,2
-0.3854626,0.12051789,0
-0.38612527,0.112923756,2
-0.37789243,0.10532558,0
-0.378617,0.09787488,2
-0.37111154,0.090767935,0
-0.37187862,0.08347946,0
-0.3725062,0.07583362,2
-0.3651238,0.06834487,0
-0.36578232,0.06080098,2
-0.3593767,0.05317921,2
-0.3540925,0.046214968,3
-0.3547087,0.038597446,2
-0.3472572,0.031805534,0
-0.34805265,0.024808697,0
-0.34870863,0.017454432,2
-0.3401971,0.010554634,0
-0.34093395,0.003479888,2
-0.3382759,-0.004192331,2
-0.33161926,-0.011791562,0
-0.3323342,-0.019053709,2
-0.32865953,-0.02612944,2
-0.3217908,-0.032990966,1
-0.32262102,-0.039486088,2
-0.3166629,-0.04695942,2
-0.30881277,-0.053712048,0
-0.30974698,-0.060426198,0
-0.31054154,-0.06749787,2
-0.3027821,-0.07430647,0
-0.3036312,-0.08118423,2
-0.2963383,-0.087804735,0
-0.29722613,-0.094525926,2
-0.2921607,-0.10143274,2
-0.28692365,-0.108410336,2
-0.28176326,-0.11463235,0
-0.28279158,-0.12101248,2
-0.2791332,-0.12750378,2
-0.27617437,-0.13414036,2
-0.26920876,-0.14018331,0
-0.27032033,-0.14630137,2
-0.26577944,-0.15286054,2
-0.26032764,-0.15866892,0
-0.2614897,-0.16464382,2
-0.25843644,-0.170641,2
-0.25472385,-0.17686097,2
-0.25253797,-0.18302919,2
-0.24705362,-0.18874593,2
-0.24341868,-0.19451873,1
-0.2446744,-0.19977756,2
-0.23796995,-0.20597231,2
-0.23581417,-0.21181256,2
-0.23257895,-0.21760808,2
-0.22480121,-0.22318693,2
-0.22217183,-0.22828199,2
-0.21884917,-0.23324463,0
-0.22042254,-0.23827483,2
-0.2138939,-0.24375927,0
-0.21549267,-0.2487755,2
-0.2115009,-0.2540277,2
-0.20397352,-0.25909957,0
-0.20571594,-0.2637652,2
-0.20185922,-0.26901513,2
-0.19876821,-0.27374002,0
-0.20048434,-0.2785212,2
-0.19345798,-0.28344294,2
-0.18795455,-0.2877013,0
-0.18987343,-0.2919219,2
-0.18332118,-0.29663363,0
-0.18527898,-0.30081213,2
-0.1780453,-0.30495352,0
-0.18007934,-0.30890274,2
-0.17820391,-0.31337273,2
-0.1767825,-0.3180659,2
-0.17291613,-0.32263726,2
-0.16629224,-0.3269862,2
-0.161965,-0.33064967,0
-0.16422608,-0.33421332,2
-0.1607798,-0.33782893,2
-0.15550429,-0.34105706,0
-0.15786204,-0.34429285,2
-0.1518346,-0.34768257,0
-0.15423392,-0.35081136,2
-0.15088311,-0.353925,2
-0.14625496,-0.35696214,2
-0.14397024,-0.35953045,0
-0.1464941,-0.36225775,2
-0.14363159,-0.3655356,2
-0.14091064,-0.36818925,2
-0.13834321,-0.3712487,2
-0.13416857,-0.3735366,0
-0.13685457,-0.37588966,2
-0.1322904,-0.37858927,2
-0.12850176,-0.38114727,0
-0.13128847,-0.38332888,2
-0.13011973,-0.38557118,2
-0.1252769,-0.38781026,2
-0.12157477,-0.3898897,0
-0.12449817,-0.39170754,2
-0.12171676,-0.3935349,2
-0.119907856,-0.39553142,0
-0.12281124,-0.39739615,2
-0.11817317,-0.39921713,2
-0.116056,-0.4010039,0
-0.119026035,-0.40268126,2
-0.114659816,-0.40416092,2
-0.111644834,-0.40576506,0
-0.114713,-0.40715402,2
-0.111461125,-0.40853363,0
-0.11449433,-0.40997446,2
0.5428844,-0.15365766,3
0.54081446,-0.1553195,3
1.1901346,0.10171579,0
1.1936795,0.09998536,0
1.1970671,0.098852284,0
1.1998065,0.09810509,0
1.201933,0.098140396,0
1.2032948,0.098622955,0
1.2036943,0.099417254,0
1.2032429,0.10036693,0
1.1998692,0.101447515,0
1.1980855,0.10181976,0
1.1980836,0.10175304,0
1.1980972,0.101722114,0
1.1980975,0.10172605,0
1.1980971,0.10173848,0
1.1980966,0.101745434,0
1.1980966,0.101745844,0
1.1980966,0.10174386,0
1.1980968,0.101742454,0
1.1980968,0.101742096,0
1.1980968,0.10174242,0
1.1980968,0.10174271,0
1.1980968,0.101742804,0
1.1980968,0.10174277,0
1.1980968,0.10174271,0
1.1980968,0.10174267,0
1.1980968,0.10174267,0
1.1980968,0.1017427,0
1.1980968,0.1017427,0
1.1980968,0.1017427,0
1.1980968,0.1017427,0
1.1980968,0.1017427,0
1.1980968,0.1017427,0
1.1980968,0.1017427,0
1.1980968,0.1017427,0
-0.46995088,0.40378007,1
-0.47141835,0.39849675,1
-0.47290912,0.39288166,1
-0.47423187,0.38674176,1
-0.4753404,0.38010374,1
-0.47633713,0.37306568,1
-0.47722077,0.36557075,1
-0.4778944,0.35750785,1
-0.4785521,0.3491329,1
-0.47903833,0.3402402,1
-0.47934029,0.33094606,1
-0.47957906,0.3210858,1
-0.47969824,0.31090602,2
-0.47382173,0.29969278,2
-0.47012135,0.2892901,2
-0.4651961,0.27899563,2
-0.46160188,0.268849,2
-0.45471275,0.25890842,2
-0.45012683,0.24930342,2
-0.44316775,0.23961334,2
-0.43471232,0.2307245,2
-0.42726213,0.22219484,3
-0.42781746,0.21313515,2
