depths,mean_rewards,std_rewards,seeds_mean_rewards,seeds_std_rewards
1,-858.0315482005699,628.8235564407173,-858.0315482005697,56.48227222441594
2,-651.0415425909258,67.09663268622054,-651.0415425909259,7.39041497397179
3,-465.0934398610072,150.0396825720047,-465.09343986100725,14.884377865146678
4,-247.08448098911342,172.98537277096767,-247.08448098911344,16.510922445227642
5,-252.4166579227659,147.2873215857566,-252.4166579227659,15.268629287851457
6,-182.4926661223786,70.01410058533791,-182.4926661223786,7.565468670914646
7,-214.60637727283165,101.66357821239454,-214.60637727283162,10.750285482911803
8,-169.93423223095144,80.13792110516695,-169.9342322309515,7.501175479014648
9,-374.4450637623491,116.67441310971236,-374.4450637623491,11.496183526695287
10,-324.0674898187136,150.37469054291037,-324.0674898187136,15.459760611678176
11,-276.0989184335558,180.45406834134852,-276.0989184335558,17.996013933194085
12,-187.47587805285437,166.70051656096658,-187.47587805285434,17.622969640397045
13,-244.94629796331924,210.1550597084808,-244.94629796331918,18.872875843579678
14,-141.1491588347916,235.13950291050296,-141.1491588347916,23.215328398233613
15,-123.16679499614956,215.95999712679844,-123.16679499614958,21.852368905051733
