#{"t_start": 1736441212.7752347, "env_id": "LunarLander-v3"}
r,l,t
-98.688485,110,0.093302
-109.492566,96,0.146385
-106.463937,120,0.209302
-115.48448,84,0.2543
-239.653213,105,0.311303
-34.253123,104,0.367306
-204.377735,72,0.405307
-0.06994,75,0.446302
-108.095041,100,0.498313
-292.706268,121,0.569302
-55.901856,59,0.603317
-252.576715,121,0.673302
-64.313676,105,0.734314
-399.556558,106,0.797301
-168.750674,115,0.864304
-71.188842,71,0.904307
-128.863926,80,0.952703
-281.574497,73,0.994704
-132.639836,92,1.053714
-77.112472,116,1.130703
-328.061852,109,1.206702
-507.102044,140,2.218515
-165.13281,79,2.264435
-130.766114,68,2.304779
-24.452856,121,2.395778
-210.364355,76,2.44578
-102.653653,83,2.497779
-18.340568,109,2.563778
-321.19483,91,2.616779
-524.756808,124,2.692779
-60.44418,62,2.726778
-309.37182,128,2.799793
-198.915558,91,2.852779
-121.670186,87,2.904778
-345.025832,108,2.977779
-298.766272,114,3.058779
-116.778561,118,3.134778
-234.466822,118,3.209856
-57.23843,91,3.259776
-98.268196,55,3.289778
-161.891517,96,3.341856
-198.694791,76,3.385779
-134.397371,79,4.424871
-136.621782,72,4.479871
-182.361053,68,4.530867
-150.488383,68,4.575871
-348.516928,109,4.644905
-177.343997,99,4.704881
-165.890991,118,4.775871
-117.900596,75,4.819911
-178.63544,121,4.892878
-191.249376,67,4.933904
-85.748537,73,4.976871
-141.147541,113,5.045876
-246.110594,105,5.105793
-112.269077,71,5.145876
-122.476573,115,5.207879
-110.362432,125,5.274874
-133.767311,105,5.330871
-124.48574,75,5.368872
-145.326173,58,5.398871
-130.324094,97,5.450792
-98.76802,62,5.484796
-315.035375,97,5.537877
-113.430874,103,5.594871
-108.701888,74,6.59696
-162.240765,90,6.649962
-105.053977,70,6.690962
-80.876396,68,6.730961
-114.629294,121,6.802981
-127.924254,79,6.849778
-276.471995,103,6.90686
-111.693831,66,6.942769
-224.184169,84,6.989846
-143.722192,102,7.046849
-60.848776,64,7.081856
-154.820652,69,7.119851
-278.628229,117,7.182851
-284.005813,110,7.24277
-197.755309,118,7.305853
-88.847573,83,7.349853
-96.566823,64,7.383771
-178.878514,126,7.451852
-116.290603,75,7.490771
-133.808078,138,7.565858
-182.52766,128,7.636863
-307.912161,148,8.483023
-179.508415,118,8.547024
-209.996888,122,8.612024
-139.517891,102,8.66802
-186.989461,109,8.725021
-278.160642,97,8.778033
-134.135414,111,8.83896
-125.87266,63,8.871966
-120.082786,87,8.918042
-155.789691,104,8.974962
-210.138919,119,9.040962
-101.42689,68,9.076967
-195.156366,84,9.122961
-128.480162,76,9.16496
-170.149954,99,9.217962
-123.806085,77,9.260963
-121.257617,74,9.303962
-133.315306,76,9.347039
