depths,mean_rewards,std_rewards
1,-316.84487588153695,2.3545556962222847
2,-434.0921943508226,6.003846906726535
3,-347.03975700790335,5.420294269865826
4,-305.14491744027134,6.902281515675066
5,-337.8826474360633,4.331114285807903
6,-44.86064580619951,10.348379320089366
7,52.103165688195865,5.550201880618816
8,77.83766963179083,6.943735312346913
9,128.46320235319376,5.843121365072265
10,112.48852934414879,6.27481109945138
11,178.30251606128456,4.8357754710186605
12,167.50014070548232,2.1897613933621423
13,155.25963491608545,4.083172755442732
14,169.35650092185452,6.313937672248397
15,137.14829307838633,5.751628437511884
