depths,mean_rewards,std_rewards
1,-316.18554634197,2.3056691901565167
2,-439.07919575497726,7.341851992798433
3,-314.04133501170196,5.428891020759362
4,-351.9887585086304,5.2135232229016
5,-114.87700264594878,6.210100553111065
6,-18.826513691736633,5.545666092077393
7,-64.35786594524407,6.713477818088032
8,-11.197158948388457,3.65900920352876
9,16.212496066967294,7.990063843172542
10,114.24627405316424,4.891605528809355
11,91.9415880687291,8.969592738550856
12,128.55922412240014,6.1237835701992065
13,136.29196436116794,7.343839721068731
14,168.05468408702794,4.874118628260497
15,124.40857642445913,7.536119029338078
