depths,mean_rewards,std_rewards
1,-317.5801065320001,4.116903471174204
2,-317.46522643135086,4.1215554688913745
3,-333.5638044892618,4.313600307134922
4,56.670079210312075,7.829658771950875
5,-53.765057840875386,9.770627732868883
6,-168.26507572909136,8.526107922312354
7,-26.33105885318932,5.706578784779578
8,23.435163558292512,4.985428038954597
9,25.826004705903046,5.873222417780915
10,48.77557873555603,7.492608352433305
11,82.90357485869812,5.444226170845402
12,173.2584823335723,3.7601038875948123
13,121.39694417551893,6.834708692380318
14,153.6875509526401,5.890751133482447
15,139.23587993111525,7.193795518911232
