depths,mean_rewards,std_rewards
1,-354.1806170103514,13.234564341161626
2,-354.1806170103514,13.234564341161626
3,-338.5547166167712,22.573995452399707
4,-314.5778215673162,48.932722341352076
5,-309.1408574619551,24.09274428088201
6,-370.3801953178192,20.90951407002167
7,-408.6087823375779,20.698525531377978
8,-301.20070001636554,33.47696455613297
9,-128.30655554409702,31.58758870060562
10,-177.06665742683776,86.78764787651858
11,-122.42542795973266,31.454432123435062
12,-177.76397509144786,36.98292485483043
13,-87.14558607686989,22.498247348281758
14,-128.54054391364613,19.437574162966847
15,-116.33312782474108,33.02087487812699
