#{"t_start": 1736507304.2956097, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,2.091173
-94.240603,64,2.115092
-100.28406,101,2.154092
-303.886121,66,2.179095
-62.225048,69,2.205092
-271.899286,82,2.237097
-140.36869,84,2.267093
-284.955487,119,2.311092
-265.812776,69,2.335092
-110.020794,72,2.361092
-481.839688,97,2.397092
-75.012478,100,2.526526
-121.645225,101,2.88938
-26.943984,122,3.328567
-182.728782,120,3.730418
-337.87134,137,4.21677
-137.722605,114,4.611973
-45.26615,137,5.100445
-57.182527,104,5.498085
-155.048801,125,5.929602
-188.973671,117,6.33369
-153.077719,122,6.748291
-333.729588,228,7.560435
-108.851571,240,8.448591
-145.736114,282,9.552411
16.120761,303,10.649949
14.539129,261,11.687164
-63.968455,80,12.043024
-38.447056,425,13.781357
-5.362389,212,14.57516
-137.006456,745,18.577026
-150.82124,1000,23.505211
-133.224822,264,24.576938
-112.023513,1000,30.754293
-140.435947,1000,37.875767
-115.785909,1000,41.95545
-123.13129,1000,45.635054
-82.703599,1000,46.762055
-127.61248,1000,48.006637
-117.872357,1000,49.269183
-109.277901,1000,50.526179
-170.66289,1000,53.803154
-144.84779,1000,56.70673
-172.531249,1000,59.525469
-90.751056,1000,62.235415
-106.385086,1000,64.927917
-155.592059,1000,68.005749
-109.144797,1000,71.185244
-113.513866,150,71.539405
-131.141947,1000,74.674927
-157.438131,1000,77.734955
-56.93504,1000,80.89766
-120.740101,118,80.944048
-114.651246,1000,82.179333
-115.332108,1000,83.051849
-86.930026,1000,83.965735
-154.576305,1000,86.749602
-96.71522,1000,89.386676
-121.088209,1000,92.742261
-68.30025,1000,96.0827
-21.533302,129,96.376342
-90.862285,180,96.805615
-107.778658,106,97.052619
-63.151918,1000,100.226067
-46.58194,1000,102.791168
-1.346652,1000,106.024691
-67.653844,1000,108.991168
-59.278292,1000,112.144097
-50.712757,1000,114.437194
-25.421285,1000,115.623296
-65.579276,1000,116.187368
-468.861659,78,116.218369
-629.745055,74,116.248375
-703.997808,84,116.460167
-44.984007,123,116.743921
-77.868559,1000,119.704457
-93.087904,248,120.263561
-25.96942,1000,123.343448
-61.003349,1000,125.99736
-25.842459,1000,128.812515
-65.612149,1000,131.560097
-61.008716,1000,134.999491
-25.900755,1000,137.790876
-22.537942,1000,140.535048
-101.424505,1000,143.426167
-59.864532,1000,145.453355
160.954049,835,146.196111
-35.147515,1000,146.84971
-75.538698,1000,147.822523
-77.447796,1000,148.555355
-72.246209,1000,151.996763
-29.331731,1000,155.249354
-49.236249,1000,158.79585
-23.940027,1000,162.372746
-47.930648,1000,165.470084
-37.953337,1000,168.601768
234.608496,422,169.678309
-52.830074,1000,172.224891
-89.585169,1000,174.92197
230.454365,538,176.331668
-51.364798,1000,179.789356
2.362593,1000,180.580878
121.805943,976,181.174653
189.267588,374,181.412652
-27.658076,1000,182.040142
-162.137423,996,182.713062
